CodDoc;IdTipoDoc;N£mero;CodDocVT;T°tulo del documento;NameDocVT;Autor;URL;P†gina;N£meroMarginal;Libro
LPB;OBC;001;LPB-OBC-001;Evidencia y realidad en Descartes;LPB-OBC-001-Evidencia y realidad en Descartes;Leonardo Polo Barrena;https://ebooks.eunsa.es/reader/lp-i-evidencia-y-realidad-en-descartes?location=1;?location=;?marginal=;
LPB;OBC;002;LPB-OBC-002;El acceso al ser;LPB-OBC-002-El acceso al ser;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;003;LPB-OBC-003;El ser I existencia extramental;LPB-OBC-003-El ser I existencia extramental;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;004;LPB-OBC-004;Curso de teor≠a del conocimiento I;LPB-OBC-004-Curso de teor≠a del conocimiento I;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;005;LPB-OBC-005;Curso de teor≠a del conocimiento II;LPB-OBC-005-Curso de teor≠a del conocimiento II;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;006;LPB-OBC-006;Curso de teor≠a del conocimiento III;LPB-OBC-006-Curso de teor≠a del conocimiento III;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;007;LPB-OBC-007;Curso de teor≠a del conocimiento IV;LPB-OBC-007-Curso de teor≠a del conocimiento IV;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;008;LPB-OBC-008;Hegel y el posthegelianismo;LPB-OBC-008-Hegel y el posthegelianismo;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;009;LPB-OBC-009;Escritos menores 1951-1990;LPB-OBC-009-Escritos menores 1951-1990;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;010;LPB-OBC-010;Qui?n es el hombre. Presente y futuro del hombre;LPB-OBC-010-Qui?n es el hombre. Presente y futuro del hombre;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;011;LPB-OBC-011;Lecciones de êtica. êtica. Hacia una versiΩn moderna de los temas clˇsicos;LPB-OBC-011-Lecciones de êtica. êtica. Hacia una versiΩn moderna de los temas clˇsicos;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;012;LPB-OBC-012;IntroducciΩn a la filosof≠a;LPB-OBC-012-IntroducciΩn a la filosof≠a;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;013;LPB-OBC-013;La persona humana y su crecimiento;LPB-OBC-013-La persona humana y su crecimiento;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
LPB;OBC;014;LPB-OBC-014;Nominalismo, idealismo y realismo;LPB-OBC-014-Nominalismo, idealismo y realismo;Leonardo Polo Barrena;https://ebooks.eunsa.es/library/my-publications;;;
